class_one,class_two,class_three,Job_name,job_company,low_salary,job_release_time,0,job_edu,job_area,job_welfare,second_time,,
技术,后端开发,C++,C++高级工程师,时空悦动,20,2017/10/25 0:00,3, 本科,北京,"“谷歌大牛,海归团队,未来独角兽,员工期权”",1508860800,,
技术,后端开发,C++,C++开发工程师,领通科技,11,2017/11/8 18:55,3, 本科,北京,"“高速发展期,产品前景好,股权激励”",1510138500,,
技术,后端开发,数据挖掘,高级算法与数据挖掘工程师,无秘,25,2017/11/8 10:09,3, 硕士,深圳,"“高速成长,核心团队”",1510106940,,
技术,后端开发,数据挖掘,数据挖掘专家-P7-安全基础平台蚂蚁金服-杭州上海,蚂蚁金服集团,25,2017/11/7 0:00,3, 硕士,杭州,"“顶尖的团队,大牛云集,核心业务,成长晋升快”",1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师/专家,阿里文娱,25,2017/11/4 0:00,3, 本科,北京,“大平台 技术牛人”,1509724800,,
技术,后端开发,数据挖掘,数据挖掘工程师,叮咚钱包,16,2017/10/31 0:00,3, 本科,北京,"“五险一金,15薪,福利齐全,发展平台大”",1509379200,,
技术,后端开发,数据挖掘,高级数据挖掘专家,橙鹰,20,2017/11/8 17:13,5, 硕士,杭州,"“阿里巴巴,大数据,数据挖掘,发展前景”",1510132380,,
技术,后端开发,数据挖掘,数据挖掘与分析,Rokid,15,2017/11/8 12:50,5, 本科,杭州,"“五险一金,股票期权,人工智能,弹性工作制”",1510116600,,
技术,后端开发,数据挖掘,数据挖掘工程师,平安付,15,2017/11/7 0:00,3, 本科,上海,"“待遇从优,环境优越”",1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师,百度,15,2017/11/2 0:00,3, 本科,北京,"“公司平台好,团队氛围佳,福利待遇好,最多5个字”",1509552000,,
技术,后端开发,数据挖掘,数据挖掘工程师,新浪网,25,2017/11/8 10:38,1, 本科,北京,“前景好，业务好，核心部门”,1510108680,,
技术,后端开发,数据挖掘,数据挖掘,乐易网络,30,2017/11/8 9:47,3, 本科,深圳,"“海外手游,高配团队,两次调薪,大神指导”",1510105620,,
技术,后端开发,数据挖掘,数据分析师/数据挖掘,北京国文互联,15,2017/11/8 9:01,1, 本科,北京,"“五险一金,餐补,交通补助,通讯补助”",1510102860,,
技术,后端开发,数据挖掘,数据挖掘工程师/数据分析专家,EPNET,20,2017/11/1 0:00,3, 本科,北京,"“期权股票,发展空间大”",1509465600,,
技术,后端开发,数据挖掘,数据挖掘工程师,平安证券,18,2017/10/27 0:00,3, 本科,上海,"“机会多,平台大,福利好”",1509033600,,
技术,后端开发,数据挖掘,数据挖掘 『米粒白条』,通善金融,15,2017/11/8 15:35,3, 本科,上海,"“大数据挖掘,互联网项目,偏平管理,人文环境好”",1510126500,,
