Job_name,class_one,class_two,class_three,job_company,low_salary,low _year,job_edu,job_area,second_time
推荐算法技术专家,技术,后端开发,精准推荐,美团点评,30,3, 本科,北京,1510070400
推荐系统架构工程师,技术,后端开发,精准推荐,掌门集团,30,3, 本科,北京,1510106760
推荐算法高级工程师,技术,后端开发,精准推荐,今日头条,20,3, 本科,北京,1509120000
搜索/推荐高级产品经理,技术,后端开发,精准推荐,百度外卖,20,3, 本科,北京,1510111800
视频推荐算法工程师,技术,后端开发,精准推荐,美柚,25,3, 本科,杭州,1510123200
推荐算法研发工程师,技术,后端开发,精准推荐,网易立马理财,20,1, 硕士,北京,1510112520
神马-资深推荐算法专家-智能化方向-p7/8,技术,后端开发,精准推荐,蚂蚁金服集团,25,5, 硕士,北京,1509897600
推荐系统架构师J10322,技术,后端开发,精准推荐,快手,20,3, 本科,北京,1508342400
搜狐媒体-智能推荐平台-推荐后台开发工程师,技术,后端开发,精准推荐,搜狐媒体,30,3, 本科,北京,1508515200
推荐算法/机器学习/数据挖掘/高级工程师,技术,后端开发,精准推荐,网易,25,3, 本科,北京,1510121820
推荐算法工程师,技术,后端开发,精准推荐,小糖科技,30,3, 硕士,北京,1509552000
推荐产品经理,技术,后端开发,精准推荐,爱奇艺,15,3, 本科,北京,1508688000
WXG08-122 推荐系统算法工程师(北京),技术,后端开发,精准推荐,腾讯,15,3, 本科,北京,1509984000
资深推荐系统架构师,技术,后端开发,精准推荐,平安人寿,25,5, 本科,深圳,1510105440
优酷-推荐基础架构/算法专家、高级专家,技术,后端开发,精准推荐,阿里文娱,20,3, 本科,北京,1509984000
推荐系统高级工程师/技术专家-外卖,技术,后端开发,精准推荐,美团点评,25,1, 本科,北京,1508342400
推荐算法工程师（金融）,技术,后端开发,精准推荐,网易立马理财,25,1, 硕士,北京,1510105860
推荐系统架构师J10322,技术,后端开发,精准推荐,快手,20,3, 本科,北京,1509465600
机器学习/推荐算法/搜索算法/NLP,技术,后端开发,精准推荐,百度外卖,25,3, 本科,北京,1509465600
推荐算法工程师,技术,后端开发,精准推荐,微鲸科技,15,0, 不限,上海,1508428800
机器学习-推荐算法专家,技术,后端开发,精准推荐,美菜网,20,5, 硕士,北京,1509465600
推荐算法工程师,技术,后端开发,精准推荐,携程,15,1, 不限,上海,1508515200
产品经理（熟悉个性化推荐）,技术,后端开发,精准推荐,一亩田,15,5, 本科,北京,1510107900
资深/高级推荐算法工程师,技术,后端开发,精准推荐,网易,15,1, 硕士,杭州,1509897600
推荐系统研发工程师,技术,后端开发,精准推荐,妥妥,15,1, 本科,杭州,1509292800
推荐算法工程师,技术,后端开发,精准推荐,趣玩网,25,1, 硕士,北京,1509465600
游戏推荐算法工程师,技术,后端开发,精准推荐,网易游戏,15,1, 本科,广州,1510106580
推荐算法工程师,技术,后端开发,精准推荐,上海聊聊,30,0, 本科,上海,1509897600
推荐算法工程师,技术,后端开发,精准推荐,立纳网络,20,1, 本科,上海,1509897600
推荐算法工程师,技术,后端开发,精准推荐,奇虎360,25,1, 本科,北京,1509897600
推荐算法高级专家,技术,后端开发,精准推荐,美团点评,30,5, 硕士,北京,1508860800
天天快报-推荐算法工程师（北京）,技术,后端开发,精准推荐,腾讯,25,3, 本科,北京,1509638400
推荐算法工程师?,技术,后端开发,精准推荐,叮当快药,12,3, 大专,北京,1509897600
百度贴吧_推荐算法高级研发工程师,技术,后端开发,精准推荐,百度,20,3, 本科,北京,1508774400
推荐系统架构高级工程师,技术,后端开发,精准推荐,APUS Group,30,5, 本科,北京,1510147140
推荐算法高级工程师-短视频方向,技术,后端开发,精准推荐,今日头条,25,1, 本科,北京,1510121700
高级推荐引擎开发工程师,技术,后端开发,精准推荐,陌陌,25,3, 本科,北京,1510106580
【急聘】搜索推荐系统研发工程师,技术,后端开发,精准推荐,易所试,15,1, 本科,北京,1510103880
推荐算法工程师,技术,后端开发,精准推荐,网易游戏,20,3, 本科,广州,1508342400
推荐算法架构师,技术,后端开发,精准推荐,喜马拉雅,20,3, 硕士,上海,1509984000
高级推荐算法开发工程师,技术,后端开发,精准推荐,网易,16,3, 本科,杭州,1510105680
产品经理（推荐算法中心）(003685),技术,后端开发,精准推荐,YY Inc,15,1, 本科,广州,1509984000
高级推荐系统工程师,技术,后端开发,精准推荐,小红书,25,3, 本科,上海,1509292800
高级算法工程师（个性化推荐）,技术,后端开发,精准推荐,猎豹移动,20,1, 本科,北京,1509292800
产品经理（个性化推荐系统）,技术,后端开发,精准推荐,携程,15,3, 本科,上海,1509984000
C#工程师,技术,后端开发,C#,哈哈考驾照,4,0, 不限,德州,1509552000
JavaScript/C#,技术,后端开发,C#,微创,8,1, 本科,北京,1510108260
C#软件工程师,技术,后端开发,C#,土拨鼠,5,1, 不限,南京,1510106460
C#开发工程师,技术,后端开发,C#,艾文凯迪,6,1, 大专,中山,1509984000
C#开发工程师,技术,后端开发,C#,杜特软件,4,0, 大专,佛山,1509984000
C#开发工程师,技术,后端开发,C#,尚为软件,8,1, 本科,广州,1509897600
C#研发工程师,技术,后端开发,C#,产品型公司，稳定健康,8,1, 大专,深圳,1509984000
C#开发工程师,技术,后端开发,C#,栩栩科技,8,3, 不限,天津,1509897600
C#高级软件开发工程师,技术,后端开发,C#,油菜花科技,10,5, 本科,广州,1510130700
初级/中级C#开发工程师,技术,后端开发,C#,新航动力,5,1, 本科,长沙,1510105800
C#开发工程师,技术,后端开发,C#,行心科技,4,1, 大专,广州,1509897600
C#开发工程师,技术,后端开发,C#,四川红地,5,0, 本科,绵阳,1509897600
C#开发工程师,技术,后端开发,C#,昂鼎信息,10,5, 不限,广州,1509897600
C#开发工程师,技术,后端开发,C#,青岛新思诺软件,6,3, 大专,青岛,1509897600
C#开发工程师,技术,后端开发,C#,讯格软件,5,3, 大专,西安,1510118520
C#开发工程师,技术,后端开发,C#,微创,9,3, 本科,北京,1507737600
高级C#开发工程师,技术,后端开发,C#,思迪股份,10,3, 大专,深圳,1510104420
C#开发工程师,技术,后端开发,C#,ForVision,4,1, 本科,苏州,1509984000
C#,技术,后端开发,C#,上海提捺信息科技有限公司,13,3, 本科,上海,1509379200
中级C#研发工程师,技术,后端开发,C#,美味不用等,10,1, 大专,上海,1510130820
C#软件工程师,技术,后端开发,C#,云石,7,1, 本科,南京,1510110960
